periodo,credito_sector_privado,tipo_cambio,inflacion_ipc,pbi_real
Feb.2018,321449.55482326,3.24881,1.17956124835664,164.070012767263
Mar.2018,323322.25347938,3.252255,0.363136029353744,166.034039946672
Abr.2018,327114.0824945,3.230685,0.48486988623302,169.076280896417
May.2018,331837.00986428,3.27410909090909,0.930692513230167,170.022336280805
Jun.2018,331565.81901987,3.271345,1.42933403390647,166.22905507239
Jul.2018,333876.43486295,3.27722380952381,1.61610098729974,164.593299953497
Ago.2018,336097.9131313,3.28871904761905,1.07057542660273,166.14976409944
Sep.2018,339001.0111462,3.31181,1.28028100935954,167.812673970688
Oct.2018,343193.9239974,3.33476818181818,1.84089384430844,168.33848482974
Nov.2018,347077.69660628,3.37565,2.16709746401055,169.283093968319
Dic.2018,349892.62483718,3.36438421052632,2.1925231538682,170.369015603978
Ene.2019,348607.92,3.34381363636364,2.12915785051415,167.455150049253
Feb.2019,347964.7,3.3216,2.00338485500231,167.622825256679
Mar.2019,353040.65,3.30431904761905,2.24744059848037,170.550610142393
Abr.2019,355111.71,3.303405,2.59264472909832,171.118899847166
May.2019,359766.29,3.33350454545455,2.72512754617208,171.236230492186
Jun.2019,359583.99,3.325475,2.29478053967056,171.154930782561
Jul.2019,362232.74,3.29040476190476,2.11191328006436,171.000914876569
Ago.2019,368239.95,3.37871,2.03972339384534,172.591278721415
Sep.2019,369200.45,3.35719047619048,1.85100693723761,171.356941113398
Oct.2019,372858.23,3.36007619047619,1.88056226356924,172.556453223271
Nov.2019,376628.05,3.372715,1.86679694871124,173.371584793124
Dic.2019,374462.85,3.3547380952381,1.90009157916248,171.679404272136
Ene.2020,376518.28,3.32776363636364,1.88835605229068,172.934195324644
Feb.2020,382281.7,3.39138,1.90403776113918,172.727214614625
Mar.2020,385570.6,3.49255454545455,1.82153296943842,140.503002958334
Abr.2020,384639.15,3.39842,1.72448975655499,104.35718010835
May.2020,405971.21,3.42185,1.7819197522911,116.059228900362
Jun.2020,409902.09,3.47109523809524,1.59873239164688,139.909969593455
Jul.2020,414921.96,3.51734090909091,1.8616957242678,152.557843942335
Ago.2020,419644.05,3.56454761904762,1.68739824186658,156.547130692248
Sep.2020,421220.25,3.55575909090909,1.81955390705632,160.51936835531
Oct.2020,421957.69,3.59613636363636,1.72400036113651,167.169520946249
Nov.2020,423853.94,3.60871904761905,2.14220969430481,168.922807960474
Dic.2020,422199.029553614,3.60324285714286,1.97323222946074,173.167361490965
Ene.2021,415158.430741444,3.62495,2.67554538350913,172.164051017993
Feb.2021,418953.877418308,3.64569,2.4013422122209,168.443418980469
Mar.2021,424369.773062804,3.70917826086957,2.59818523324116,168.376723986983
Abr.2021,428505.056725755,3.699525,2.38369772363027,167.468461228883
May.2021,432887.434012139,3.77475714285714,2.44745902560864,172.19857746939
Jun.2021,435488.733318251,3.91160476190476,3.25460667105263,172.77746476187
Jul.2021,443145.456350323,3.942455,3.81459906516264,173.528789522653
Ago.2021,441492.686727291,4.08725238095238,4.95280459648037,175.086278301496
Sep.2021,443523.403874519,4.10805454545454,5.22957455422953,176.126159187722
Oct.2021,441980.231980449,4.01368,5.82600992647617,175.486747211402
Nov.2021,446677.973121627,4.02049523809524,5.65514784662318,175.014762741503
Dic.2021,446195.311141001,4.03686818181818,6.43038716340725,176.059915194989
Ene.2022,440310.642358442,3.88834285714286,5.68491659367423,176.982265321709
Feb.2022,442370.71224992,3.790945,6.1470442223465,176.682047622781
Mar.2022,445510.911227158,3.73862173913043,6.82408900736014,175.30164255593
Abr.2022,449828.287904484,3.74100526315789,7.96465277256915,175.022055260789
May.2022,449320.67575521,3.75727727272727,8.09113893196794,176.251895332725
Jun.2022,455781.836629894,3.74843809523809,8.81263294388897,179.317052729016
Jul.2022,462168.250620687,3.90343684210526,8.74083491516008,177.733174304011
Ago.2022,458197.586952529,3.87355909090909,8.39798830340194,177.408945016816
